type,count
amenity,495
addr:city,495
name,495
address,495
addr:street,392
addr:housenumber,384
addr:postcode,379
opening_hours,243
phone,197
outdoor_seating,173
wheelchair,170
ref:FR:SIRET,150
contact:facebook,129
website,105
check_date,82
survey:date,70
brewery,55
source:addr:housenumber:ref,50
smoking,50
source:addr,47
source:addr:version,47
contact:instagram,44
indoor_seating,40
source,34
internet_access,32
description,31
email,31
tobacco,28
opening_hours:signed,27
check_date:opening_hours,25
cuisine,21
toilets:wheelchair,20
shop,17
operator,14
live_music,11
level,10
alt_name,10
takeaway,10
was:name,10
diet:vegetarian,9
addr:country,9
start_date,8
internet_access:fee,8
opening_hours:covid19,8
was:amenity,8
wheelchair:description,7
mapillary,7
drink:beer,6
sport,6
payment:credit_cards,6
microbrewery,6
cocktails,6
payment:debit_cards,5
ref:FR:MontfortCommunaute:OC,5
note,5
delivery,4
old_name,4
lottery,4
drink:wine,4
organic,4
food,3
toilets,3
source:version,3
payment:cash,3
takeaway:covid19,3
leisure,3
name:fr,3
entrance,3
bulk_purchase,3
wifi,3
opening_hours:kitchen,3
lgbtq,3
brand,3
min_age,2
diet:vegan,2
darts:type,2
name:en,2
restaurant,2
fixme,2
url,2
reservation,2
bar,1
toilets:access,1
drink:whisky,1
check_date:currency:XBT,1
currency:XBT,1
payment:lightning,1
payment:onchain,1
drive_through,1
access:covid19,1
description:covid19,1
contact:twitter,1
bookmaker,1
ref:FR:NAF,1
ref:FR:SIREN,1
sells:bookmaker,1
sells:lottery,1
sells:newsagent,1
sells:tobacco,1
cuisine:fr,1
access,1
cafe,1
gambling,1
newspapers,1
layer,1
ref,1
product,1
not:brand:wikidata,1
source:bulk_purchase,1
dog,1
fee,1
tourism,1
payment:meal_voucher,1
official_name,1
addr:housename,1
books,1
drink:cider,1
internet_access:ssid,1
contact:youtube,1
dance:style,1
dance:teaching,1
end_date,1
brand:wikidata,1
drink,1
since,1
air_conditioning,1
is_in,1
capacity:covid19,1
newsagent,1
